SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKPCT,,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_SECURITY,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
202,Aiton ES,-76.93370092,38.89700148,Elementary,es,4,7,TRUE,2015,0.73,0.73,180,82,2,22,245,2643688.559,425637.9825,8516.35125,63926.876,107065.0128,0,0,0,,124500,30861,0,0,0,0,0,155361,3404195.782
203,Amidon-Bowen ES,-77.0181253,38.87951507,Elementary,es,3,6,TRUE,2015,0.73,0.73,271,65,11,57,372,2953502.445,464623.715,47313.0625,63926.876,148243.8639,0,0,0,,137200,259122,0,0,0,0,0,396322,4073931.962
450,Anacostia HS,-76.98307725,38.87008373,High,hs,8,8,TRUE,2015,0.79,0.79,612,0,3,227,774,5296931.376,3231225.225,13247.6575,0,325529.6543,0,0,0,,293171,123444,0,0,97104,0,0,513719,9380652.913
452,Ballou HS,-77.00097526,38.83938233,High,hs,8,8,TRUE,2015,0.72,0.72,470,0,2,208,655,4597757.494,3190220.15,8516.35125,0,293886.9582,0,0,0,,265087,30861,0,947100,80920,984894.0173,0,2308862.017,10399242.97
462,Ballou STAY,-77.00097526,38.83938233,STAY,other,8,8,FALSE,2015,NA,NA,NA,0,0,38,485,2179758.425,473130.625,0,0,15675,0,0,0,,237752,0,0,0,0,0,0,237752,2906316.05
204,Bancroft ES,-77.04055344,38.93431802,Elementary,es,3,1,FALSE,2015,0.32,0.32,161,110,288,66,504,4219389.031,693064.295,1355447.17,119037.217,147982.5703,0,0,0,,50400,0,0,0,0,0,0,50400,6585320.284
205,Barnard ES,-77.01777708,38.94823061,Elementary,es,5,4,FALSE,2015,0.44,0.44,268,144,204,87,605,4837863.521,1272288.958,882316.545,174147.558,252708.1071,0,0,0,,155126,0,0,0,0,0,0,155126,7574450.688
206,Beers ES,-76.95560475,38.86434951,Elementary,es,2,7,FALSE,2015,0.59,0.59,259,99,3,104,435,3865476.64,1442327.7,13247.6575,77704.46125,182920.7911,0,0,0,,43500,0,0,0,0,0,0,43500,5625177.25
402,Benjamin Banneker HS,-77.02397697,38.92383242,High,hs,9,1,FALSE,2015,0.23,0.23,100,0,5,6,445,3000915.913,219933.67,21764.00875,0,111413.9149,690480,0,0,,163167,0,0,0,0,0,0,163167,4207674.507
212,Brent ES,-77.00145985,38.88480087,Elementary,es,4,6,FALSE,2015,0.06,0.06,20,68,6,32,363,3219692.396,378504.5,25549.05375,0,8975,0,0,0,,36300,0,0,0,0,0,0,36300,3669020.95
