school,lineitem,fte,budget
175,1,na,3000
175,7,2,61362
175,9,6,184086
175,17,2,61362
175,28,0.75,47064
175,29,1,36519
175,44,1,57444
175,45,na,10000
175,46,na,15000
175,48,2,89752
175,54,na,19597
175,55,na,13500
175,58,na,13000
175,63,na,4041
175,64,1,94626
175,67,0.75,70969.5
175,74,na,500
175,76,1,147768
175,79,na,24300
175,80,0.5,47313
175,82,1,94626
175,90,2,189252
175,91,2,189252
175,92,2,189252
175,96,1,94626
175,100,1,94626
175,106,0.5,47313
175,107,2,189252
175,109,2,189252
175,111,2,189252
175,112,0.75,70969.5
175,115,2,189252
175,116,2,189252
175,123,0.5,47313
202,1,na,0
202,5,na,64441.32
202,9,7,214767
202,11,1,30681
202,14,1,30681
202,26,1,118667
202,27,1,39009
202,28,1,62752
202,42,1,50010
202,44,1,57444
202,45,na,0
202,46,na,10000
202,47,1,35715
202,48,1,44876
202,54,na,10000
202,55,na,16899
202,63,na,500
202,64,1,94626
202,66,na,8516.34
202,67,0.5,47313
202,68,na,2000
202,71,na,100000
202,76,1,147768
202,79,na,24500
202,80,0.5,47313
202,82,1,94626
202,90,2,189252
202,91,2,189252
202,92,2,189252
202,93,1,94626
202,94,1,94626
202,96,1,94626
202,103,1,94626
202,106,1,94626
202,107,2,189252
202,109,2,189252
202,112,0.5,47313
202,115,2,189252
202,116,2,189252
202,117,1,94626
202,118,1,94626
202,131,0.5,47313
203,1,na,20000
203,3,1,74398
203,5,na,64441.32
203,9,7,214767
203,11,1,30681
203,13,3,92043
203,21,1,30681
203,24,1,118667
203,27,1,39009
203,29,1,36519
203,31,na,35000
203,44,1,57444
203,45,na,1000
203,46,na,12000
203,47,2,71430
203,48,1,44876
203,54,na,24541
203,55,na,4000
203,58,na,10000
203,63,na,1000
203,64,1,94626
203,67,1,94626
203,71,na,100000
203,74,na,15000
203,76,1,147768
203,79,na,37200
203,80,1,94626
203,82,1,94626
203,90,2,189252
203,91,3,283878
203,92,2,189252
203,93,2,189252
203,94,2,189252
203,96,1,94626
203,103,1,94626
203,105,0.5,47313
203,106,1,94626
203,107,3,283878
203,109,3,283878
203,112,1,94626
203,115,1,94626
203,116,1,94626
203,117,1,94626
203,129,1,94626
204,1,na,17318
204,2,1,46722
204,5,na,120064.74
204,9,10,306810
204,11,1,30681
204,12,1,30681
204,22,1,43728
204,24,1,118667
204,31,na,58500
204,38,0.5,45459
204,40,1,90918
204,43,2,189252
204,44,1,57444
204,45,na,6000
204,46,na,30000
204,48,3,134628
204,51,1,98825
204,52,na,6500
204,54,na,45000
204,55,na,128300
204,58,na,3000
204,63,na,2500
204,64,1,94626
204,67,1,94626
204,70,na,5000
204,74,na,18000
204,76,1,147768
204,78,na,5000
204,79,na,50400
204,80,1,94626
204,82,1,94626
204,90,3,283878
204,91,3,283878
204,92,3,283878
204,93,3,283878
204,94,3,283878
204,96,1,94626
204,99,1,94626
204,103,1,94626
204,105,12,1135512
204,106,1,94626
204,107,4,378504
204,109,4,378504
204,112,1,94626
204,115,3,283878
204,116,3,283878
204,134,na,16854
205,1,na,20000
205,5,na,175688.16
205,7,6,184086
205,9,12,368172
205,10,2,61362
205,12,1,30681
205,16,1,36703
205,24,1,118667
205,28,1,62752
205,29,1,36519
205,31,na,9618
205,40,1,90918
205,42,1,50010
205,43,1,94626
205,44,1,57444
205,45,na,5000
205,46,na,23000
205,48,4,179504
205,52,na,4000
205,54,na,33000
205,55,na,90703
205,57,na,2000
205,59,na,35715
205,63,na,1000
205,64,2,189252
205,67,1,94626
205,70,na,6081
205,76,1,147768
205,79,na,60500
205,80,0.5,47313
205,82,0.5,47313
205,84,1,94626
205,90,4,378504
205,91,4,378504
205,92,4,378504
205,93,3,283878
205,94,3,283878
205,96,1,94626
205,100,5,473130
205,102,1,94626
205,105,8,757008
205,106,2,189252
205,107,4,378504
205,109,4,378504
205,112,1,94626
205,114,1,94626
205,115,4,378504
205,116,4,378504
205,131,1,94626
205,135,na,6000
206,1,na,6599
206,2,1,46722
206,5,na,78347.18
206,7,6,184086
206,9,8,245448
206,10,2,61362
206,11,2,61362
206,16,2,73406
206,24,1,118667
206,28,0.5,31376
206,31,na,8750
206,33,1,43567
206,40,1,90918
206,44,1,57444
206,45,na,5000
206,46,na,15000
206,48,2,89752
206,54,na,12250
206,55,na,16000
206,60,1,94626
206,64,1,94626
206,66,na,13247.64
206,67,1,94626
206,74,na,3000
206,76,1,147768
206,78,na,50000
206,79,na,43500
206,80,1,94626
206,82,1,94626
206,90,3,283878
206,91,2,189252
206,92,2,189252
206,93,2,189252
206,94,3,283878
206,96,1,94626
206,100,3,283878
206,102,1,94626
206,103,2,189252
206,106,1.5,141939
206,107,4,378504
206,109,3,283878
206,112,1,94626
206,115,2,189252
206,116,2,189252
206,117,1,94626
206,123,1,94626
206,130,2,189252
206,131,1,94626
206,132,1,94626
212,1,na,10000
212,2,1,46722
212,9,7,214767
212,16,2,73406
212,28,1,62752
212,44,1,57444
212,45,na,11032
212,46,na,0
212,48,2,89752
212,54,na,0
212,55,na,21000
212,64,1,94626
212,66,na,25549.02
212,74,na,14749
212,76,1,147768
212,78,na,19000
212,79,na,36300
212,80,0.5,47313
212,82,0.5,47313
212,90,3,283878
212,91,3,283878
212,92,3,283878
212,93,2,189252
212,94,1,94626
212,96,1,94626
212,106,1,94626
212,107,3,283878
212,109,3,283878
212,112,1,94626
212,117,4,378504
212,118,1,94626
212,123,1,94626
212,131,1,94626
213,1,na,0
213,5,na,92253.03
213,9,9,276129
213,12,1,30681
213,14,1,30681
213,22,2,87456
213,24,1,118667
213,26,1,118667
213,29,1,36519
213,31,na,80000
213,39,1,69648
213,43,3,283878
213,44,1,57444
213,45,na,0
213,45,na,12839
213,47,1,35715
213,48,4,179504
213,49,1,89373
213,51,1,98825
213,54,na,43981
213,55,na,90000
213,59,na,10000
213,64,1,94626
213,67,1,94626
213,71,na,100000
213,72,na,5000
213,73,na,28000
213,74,na,8784
213,76,1,147768
213,78,na,30000
213,79,na,63500
213,80,0.5,47313
213,82,2,189252
213,90,4,378504
213,91,4,378504
213,92,3,283878
213,93,2,189252
213,94,3,283878
213,96,1,94626
213,104,2,189252
213,105,14,1324764
213,106,2,189252
213,107,5,473130
213,109,4,378504
213,110,2,189252
213,112,1,94626
213,115,2,189252
213,116,2,189252
213,117,1,94626
213,119,1,94626
213,123,2,189252
213,128,2,189252
213,130,1,94626
213,131,1,94626
220,1,na,10000
220,5,na,50535.47
220,7,6,184086
220,9,5,153405
220,10,2,61362
220,16,1,36703
220,24,1,118667
220,28,1,62752
220,29,1,36519
220,34,1,46031
220,38,1,90918
220,44,1,57444
220,45,na,5000
220,46,na,12000
220,47,1,35715
220,48,1,44876
220,52,na,10000
220,54,na,1333
220,55,na,5000
220,58,na,5000
220,60,1,94626
220,63,na,500
220,64,1,94626
220,70,na,7500
220,71,na,100000
220,72,na,5000
220,73,na,28000
220,74,na,12946
220,76,1,147768
220,78,na,6950
220,79,na,27200
220,80,1,94626
220,81,1,39448
220,82,1,94626
220,87,na,2003
220,90,2,189252
220,91,1,94626
220,92,1,94626
220,93,1,94626
220,94,1,94626
220,96,1,94626
220,100,3,283878
220,102,1,94626
220,104,1,94626
220,105,1,94626
220,106,1,94626
220,107,4,378504
220,109,2,189252
220,110,1,94626
220,112,0.5,47313
220,115,2,189252
220,116,2,189252
220,123,1,94626
220,128,1,94626
220,131,1,94626
220,133,na,1000
220,134,na,5000
221,1,na,3746
221,5,na,50535.47
221,9,9,276129
221,16,1,36703
221,27,1,39009
221,28,1,62752
221,29,1,36519
221,31,na,7000
221,33,1,43567
221,40,1,90918
221,42,1,50010
221,44,1,57444
221,45,na,3000
221,46,na,10000
221,47,1,35715
221,48,2,89752
221,54,na,50000
221,55,na,129000
221,63,na,1000
221,66,na,4731.3
221,67,1,94626
221,74,na,6000
221,76,1,147768
221,78,na,9000
221,79,na,34500
221,80,1,94626
221,82,1,94626
221,90,2,189252
221,91,2,189252
221,92,2,189252
221,93,2,189252
221,94,1,94626
221,96,1,94626
221,106,1,94626
221,107,3,283878
221,109,2,189252
221,112,1,94626
221,117,6,567756
221,119,1,94626
221,131,0.5,47313
221,133,na,935
221,134,na,3000
224,1,na,5000
224,2,1,46722
224,5,na,64441.32
224,9,7,214767
224,24,1,118667
224,28,0.5,31376
224,29,1,36519
224,31,na,2269
224,40,0.5,45459
224,44,1,57444
224,45,na,5000
224,46,na,15000
224,48,2,89752
224,49,1,89373
224,54,na,13548
224,55,na,12228
224,57,na,2183
224,63,na,600
224,64,1,94626
224,67,1,94626
224,68,na,5000
224,70,na,2000
224,74,na,5000
224,76,1,147768
224,78,na,7575
224,79,na,31100
224,80,0.5,47313
224,82,1,94626
224,87,na,8000
224,90,2,189252
224,91,2,189252
224,92,2,189252
224,93,1,94626
224,94,2,189252
224,96,1,94626
224,105,2,189252
224,106,1,94626
224,107,2,189252
224,109,1,94626
224,112,1,94626
224,115,2,189252
224,116,2,189252
224,118,1,94626
224,123,1,94626
224,131,0.5,47313
224,134,na,10000
227,1,na,15000
227,2,1,46722
227,5,na,137131.01
227,9,8,245448
227,24,1,118667
227,28,1,62752
227,30,na,5000
227,31,na,29000
227,35,1,90918
227,37,1,43567
227,43,1,94626
227,44,1,57444
227,45,na,12000
227,46,na,15000
227,47,1,35715
227,48,2,89752
227,52,na,6000
227,54,na,20128
227,55,na,68000
227,57,na,1500
227,58,na,1500
227,63,na,250
227,64,1,94626
227,67,1,94626
227,70,na,2000
227,71,na,100000
227,74,na,5000
227,75,na,5000
227,76,1,147768
227,78,na,7000
227,79,na,41300
227,80,1,94626
227,82,1,94626
227,90,3,283878
227,91,3,283878
227,92,3,283878
227,93,3,283878
227,94,2,189252
227,96,1,94626
227,105,8,757008
227,106,2,189252
227,107,3,283878
227,109,3,283878
227,112,1,94626
227,115,3,283878
227,116,2,189252
227,131,1,94626
227,136,na,5991.84
227,137,1,36042
231,1,na,2000
231,2,2,93444
231,5,na,36629.61
231,8,1,45239
231,9,4,122724
231,13,1,30681
231,26,1,118667
231,28,0.5,31376
231,31,na,28974
231,40,0.5,45459
231,44,1,57444
231,45,na,4500
231,46,na,5000
231,47,1,35715
231,48,1,44876
231,54,na,8804
231,55,na,12300
231,63,na,400
231,64,1,94626
231,71,na,100000
231,74,na,4000
231,76,1,147768
231,78,na,1800
231,79,na,16900
231,80,0.5,47313
231,82,0.5,47313
231,84,1,94626
231,90,2,189252
231,91,1,94626
231,92,1,94626
231,93,1,94626
231,94,1,94626
231,96,0.5,47313
231,106,1,94626
231,107,2,189252
231,109,2,189252
231,112,1,94626
231,115,1,94626
231,116,1,94626
231,117,1,94626
231,131,0.5,47313
232,1,na,2500
232,9,6,184086
232,24,1,118667
232,28,1,62752
232,44,1,57444
232,45,na,10000
232,46,na,10000
232,47,1,35715
232,48,1,44876
232,54,na,20500
