id,title,category,avgcost
1,Admin Premium,Non-Personnel,na
2,Administrative Aide,Administrative,46722
3,Administrative Officer,School Leadership,74398
4,Advertising,Non-Personnel,na
5,Afterschool,Non-Personnel,na
6,Aide - Behavior & Education Support Program,Special Education,30681
7,Aide - Communication & Education Support Program,Special Education,30681
8,Aide - Computer Lab,Schoolwide Instructional Support,45239
9,Aide - Early Childhood,Early Childhood,30681
10,Aide - Early Childhood Communication & Education Support Program,Special Education,30681
11,Aide - Early Learning Support Program,Special Education,30681
12,Aide - English Language Learner,English Language Learner,30681
13,Aide - General Education,Classroom Aides,30681
137,Aide - General Education II,Classroom Aides,36042
14,Aide - Inclusion/Resource,Special Education,30681
15,Aide - Independence & Learning Support Program,Special Education,30681
16,Aide - Library/Technology,Related Arts,36703
17,Aide - Medical & Education Support Program,Special Education,30681
18,Aide - Non-Categorical,Special Education,30681
19,Aide - Sensory Support Program,Special Education,30681
20,Aide - Separate School Independence & Learning Support Program,Special Education,30681
21,Aide - Specific Learning Support Program,Special Education,30681
22,Assistant - School Operations,Administrative,43728
23,Assistant Director,Administrative,92000
24,Assistant Principal,School Leadership,118667
25,Assistant Principal - Intervention (API),School Leadership,118667
26,Assistant Principal - Literacy (APL),School Leadership,118667
27,Behavior Technician,Socio-Emotional Support,39009
28,Business Manager,Administrative,62752
29,Clerk,Administrative,36519
30,Conference Fees (Out of City),Non-Personnel,na
31,Contractual Services,Non-Personnel,na
32,Coordinator - Academy,Schoolwide Instructional Support,90918
33,Coordinator - Computer Lab/Technology,Schoolwide Instructional Support,43567
34,Coordinator - In-School Suspension,Socio-Emotional Support,46031
35,Coordinator - Intl Baccalaureate,Schoolwide Instructional Support,90918
36,Coordinator - Ninth Grade Academy,Schoolwide Instructional Support,118667
37,Coordinator - Parent,Administrative,43567
38,Coordinator - Program,Schoolwide Instructional Support,90918
39,Coordinator - School Operations,Administrative,69648
40,Coordinator - Special Education,Special Education,90918
41,Coordinator - Student Resource,Schoolwide Instructional Support,90918
42,Counselor - Attendance,Socio-Emotional Support,50010
43,Counselor - Bilingual,English Language Learner,94626
44,Custodial Foreman,Custodial Staff,57444
45,Custodial Overtime,Non-Personnel,na
46,Custodial Supplies,Non-Personnel,na
47,Custodian (RW-3),Custodial Staff,35715
